track,album,artist
Avant Gardener,The Double EP: A Sea of Split Peas,Courtney Barnett
Awake,Wholesale Meats And Fish,Letters To Cleo
A Winter's Ball,Hamilton (Original Broadway Cast Recording),Leslie Odom Jr.
A Winters Sky,We Are The Pipettes,The Pipettes
Awkward,Blonde Album,Lightning Love
Awkward Kisser,Telekinesis!,Telekinesis
Awkward Situation,Cut out and Keep,Farrah
Baby Baby,Heart In Motion,Amy Grant
Baby Fratelli,Costello Music,The Fratellis
Baby It's A Long Way Down,Play With Your Head,Candy Butchers
Baby Just Be Yourself,We Are The Pipettes,The Pipettes
Baby Lee,Shadows,Teenage Fanclub
Back in the Saddle,Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Back in the Saddle,Tape Club,Someone Still Loves You Boris Yeltsin
Back on the Chain Gang (2007 Remaster),Learning to Crawl (Expanded & Remastered),The Pretenders
Backstabber,Double Line,Dragon Inn 3
Back to Nebraska,Back to Nebraska,Letters To Cleo
Back to the Start,It's Not Me It's You,Lily Allen
Backyard Boy,BeVerly Hills BoYfRiEnd,Claire Rosinkranz
Bad Boy,Double Line,Dragon Inn 3
Bad Girls,Matangi,M.I.A.
bad guy,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish
Bad Romance,The Fame Monster,Lady Gaga
Bad Self Portraits,Bad Self Portraits,Lake Street Dive
Bags,Immunity,Clairo
Bags,Immunity,Clairo
Balboa,Big Bold Letters,Cruiserweight
Ball and Biscuit,Elephant,The White Stripes
Bang Bang Bang,Bang Bang Bang,Lauran Hibberd
Banned (By the Man),Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Barbie Dreams (feat. Kaliii),Barbie The Album,FIFTY FIFTY
Barbie Eat a Sandwich,Get Over It!,Care Bears on Fire
Barbie Girl,Aquarium,Aqua
Barbie Nation,The Shape of Brat Pop to Come,holychild
Barbie Nation,Pastel Goth,holychild
Barely Breathing,Duncan Sheik,Duncan Sheik
Barely Legal,Is This It,The Strokes
Barlights,Aim and Ignite (Deluxe Version),fun.
Barrier Reef (Live),Hit By a Train: The Best of Old 97's,Old 97's
Basement Apt.,You Were Here,Sarah Harmer
Basement Money,Mountaintops,Mates of State
Basket Case,Dookie,Green Day
Bastard of Rome,Tape Club,Someone Still Loves You Boris Yeltsin
Beach Boy,Lychee,BENEE
Be Alone,Paramore,Paramore
Be Around Me (feat. chloe moriondo),Be Around Me (feat. chloe moriondo),Will Joseph Cook
Beautiful Rainbow,Sun Sun Sun,The Elected
Beautiful World,To See the Next Part of the Dream,Parannoul
Be Calm,Aim and Ignite (Deluxe Version),fun.
Because I'm Awesome (2012),The Dollyrots,The Dollyrots
Because It's Not Love (But It's Still A Feeling),We Are The Pipettes,The Pipettes
Because of You,Go!,Letters To Cleo
Becky,Get Damaged,Be Your Own Pet
Bed Case,Out of the Garden,Tancred
Bed Case,Bed Case / Hounds,Tancred
Behavior,Steel Train,Steel Train
Be Like You,Be Like You,Dune Rats
Bells On A Leper,Live At La Bonbonniere,Candy Butchers
Bended,Tape Club,Someone Still Loves You Boris Yeltsin
Bended,Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Benson Hedges,Aim and Ignite (Deluxe Version),fun.
Be Okay,With Love - EP,Oh Honey
Berlin,Driver,Adult Mom
Best Friends,The Shape of Brat Pop to Come,holychild
Best of Wives and Best of Women,Hamilton (Original Broadway Cast Recording),Phillipa Soo
Best Thing I Found,Go for It,Rabbit!
bethamphetamine (pretty pretty) (Album Version),The Rise and Fall of... Butch Walker and The Let's-Go-Out-Tonites,Butch Walker
Better Love,The Valley (Deluxe),Eisley
Better Love,Twilight Tales From The Prairies Of The Sun,Steel Train
Better Than It Was,All The Pain Money Can Buy,Fastball
Better Than Love,A Belle to Remember,Hayley Kiyoko
Better Than Me,Violent Things,The Brobecks
Better Version Of Me,Extraordinary Machine,Fiona Apple
Bigger Than Yr Yard,Tape Club,Someone Still Loves You Boris Yeltsin
Biggest Star,Sun Sun Sun,The Elected
Big Star,Aurora Gory Alice,Letters To Cleo
Big Yellow Taxi,Ladies of the Canyon,Joni Mitchell
Bitter,Happy Town,Jill Sobule
Bitter Pills,Bitter Pills,Maggie Gently
Bitter Sweet Symphony,90s Mixtape,The Verve
Bitter Sweet Symphony (Remastered 2016),Urban Hymns (Super Deluxe / Remastered 2016),The Verve
Black Cloud,is it me or is it you?,merci mercy
Black Hole,Lights Out,Bishop Allen
Black Hole,Get Damaged,Be Your Own Pet
Black Hole,Guppy,Charly Bliss
Black Horse And The Cherry Tree,Eye To The Telescope,KT Tunstall
Black Sheep,Black Sheep,Metric
Black Sheep,Black Sheep (Brie Larson Vocal Version),Metric
Blame Game,Blame Game,Beach Bunny
Blame It on the Boogie,The Essential Michael Jackson,The Jackson 5
Bleach,Young Enough,Charly Bliss
Bleeding Powers,Shake the Sheets,Ted Leo
Blister In The Sun,Violent Femmes,Violent Femmes
Bloody Lips,Steel Train,Steel Train
Blown to Bits,Young Enough,Charly Bliss
Blow Us All Away,Hamilton (Original Broadway Cast Recording),Ariana DeBose
Blue and Gold Print,Re-Arrange Us,Mates of State
Blue Eyes,All The Rage,Cary Brothers
Blue Lips,Far,Regina Spektor
Blue Orchid,Get Behind Me Satan,The White Stripes
Blue Ribbon,Pop Music,Remo Drive
Bobby Thompson,Blonde Album,Lightning Love
Bodegas and Blood,The Spade,Butch Walker
Bodybag,Blood Bunny,chloe moriondo
Bodybag,Hell Sounds,chloe moriondo
Bohemian Like You,Bohemian Like You (International Only),The Dandy Warhols
Bohemian Rhapsody (Remastered 2011),A Night At The Opera (Deluxe Remastered Version),Queen
Borderline Insane,Borderline Insane,Matilda Mann
Boring Fountain,Pershing,Someone Still Loves You Boris Yeltsin
Born2Run,Born2Run,Penelope Scott
Bought For A Song,Welcome Interstate Managers,Fountains Of Wayne
Boy Came In,Double Dutch,The Eames Era
Boyfriend,Crazy For You,Best Coast
Boys,Crybaby,Beach Bunny
Boy Song #1,Get Over It!,Care Bears on Fire
Boys Who Are Taken,November Birthday,Lightning Love
Boys Will Be Bugs,Animal Kingdom,Cavetown
Boys With Girlfriends,Meiko,Meiko
Brand New Colony,Give Up,The Postal Service
Brand New Colony,Give Up,The Postal Service
Brass in Pocket,Pretenders,The Pretenders
Bread Crumbs,Lights Out,Bishop Allen
Breakaway,Breakaway,Kelly Clarkson
Breakfast At Tiffany's,Home,Deep Blue Something
Breakin' Up,Under The Blacklight (Standard Version),Rilo Kiley
Break My Stride,I Don't Speak The Language,Matthew Wilder
Break My Stride,Ultimate Pop (Collection),Matthew Wilder
Breakout,There Is Nothing Left To Lose,Foo Fighters
Break The Sky,Goodbye Blues,The Hush Sound
Break Your Heart,Falling Into Place,Mike Viola
Breathe,When Did We Do That?,Letters To Cleo
Breathe In,Details,Frou Frou
Breathless,In Blue,The Corrs
Bright City Lights,All Dahled Up,The Dahlmanns
Brighter Days (Are Before Us),Brighter Days (Are Before Us),Meet Me @ The Altar
Bright Future In Sales,Welcome Interstate Managers,Fountains Of Wayne
Bright Leaves,Fly By Wire,Someone Still Loves You Boris Yeltsin
Brightly Wound,Room Noises,Eisley
Brightside,Grand Romantic,Nate Ruess
Brooklyn,Romance Without Finance,Theo Katzman
Brothers on a Hotel Bed,Plans,Death Cab For Cutie
Brothers on a Hotel Bed,Plans,Death Cab For Cutie
Brown Boxes,Nice and Nicely Done,The Spinto Band
Brown Eyed Girl,Blowin' Your Mind!,Van Morrison
Bruises,Does You Inspire You,Chairlift
brutal,SOUR,Olivia Rodrigo
Bruxelles je t’aime,Nonante-Cinq,Angèle
Buddy Holly,Weezer (Blue Album),Weezer
Bugbear,Spirit Orb,chloe moriondo
Build Me Up Buttercup,The Foundations,The Foundations
Bullet,Steel Train,Steel Train
Bullet Belt,The Spade,Butch Walker
Bulletproof,Take Offs And Landings,Rilo Kiley
Burn,Hamilton (Original Broadway Cast Recording),Phillipa Soo
Burn,Confessions (Expanded Edition),USHER
Bus Stop,20 Golden Greats,The Hollies
Bus Stop,Greatest Hits,The Hollies
Butter,Butter / Permission to Dance,BTS
Buttercup,Landmark,Hippo Campus
Butterfly,Pinkerton - Deluxe Edition,Weezer
Butterfly Nets,The Broken String,Bishop Allen
Bye Bye Bye,No Strings Attached,*NSYNC
Cabinet Battle #1,Hamilton (Original Broadway Cast Recording),Christopher Jackson
Cabinet Battle #2,Hamilton (Original Broadway Cast Recording),Christopher Jackson
Calendar Girl,Set Yourself On Fire,Stars
California,Montgomery Ricky,Ricky Montgomery
California Friends,California Friends,The Regrettes
California Girl,Live At La Bonbonniere,Candy Butchers
California Nights,California Nights,Best Coast
California One / Youth and Beauty Brigade,Castaways and Cutouts,The Decemberists
California On My Mind (Explicit Album Version),Adult Nights,Wild Light
Callie,Growth,Mint Green
Calling All Doctors,Telekinesis!,Telekinesis
Call Me,Call Me,Blondie
Call Me Baby,Animalism,Beach Bunny
Call Me Maybe,Kiss (Deluxe),Carly Rae Jepsen
Call Off The Dogs,Play With Your Head,Candy Butchers
Camera,Young Enough,Charly Bliss
Camilo - The Magician,Islands Disappear,Said The Whale
Candy Apple,The Rot That Grows Inside My Chest,Teenage Joans
Canned Hunt,Live At La Bonbonniere,Candy Butchers
Cannibal Queen,Tell It to the Volcano,Miniature Tigers
Can’t Do Much,Saint Cloud,Waxahatchee
Can't Say,Back to Nebraska,Letters To Cleo
Can't We Do Anything Right? (Album Version),Falling Into Place,Mike Viola
Can You Feel It?,New Magnetic Wonder,The Apples In Stereo
Capacity,Young Enough,Charly Bliss
Captive,Oh Little Fire,Sarah Harmer
Capturing Moods,The Execution Of All Things,Rilo Kiley
Car,There's Nothing Wrong With Love,Built To Spill
Cardinal Points,Cannibal Sea,The Essex Green
Cardinal Rules,Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Cardinal Rules,Tape Club,Someone Still Loves You Boris Yeltsin
Care,Fake It Flowers,beabadoobee
Care Less,Care Less,Cami Petyn
Caring Is Creepy,Oh Inverted World,The Shins
Carried Away,Gossamer,Passion Pit
Carrion,Tidal,Fiona Apple
Carrying Cathy,Rockin' The Suburbs,Ben Folds
Carry On,Some Nights,fun.
Catch My Disease,Awake Is the New Sleep,Ben Lee
Catch My Drift,Catch My Drift,Jordana
Cecilia,Bridge Over Troubled Water,Simon & Garfunkel
Celebrity,SUCKERPUNCH,chloe moriondo
Celebrity (Blood Bunny Version),SPLIT DECISION,chloe moriondo
Centerfold,Freeze Frame,The J. Geils Band
Centerfold,Have A Great Day!,The J. Geils Band
Centimeter,The GARDEN,the peggies
Change,Mountaintops,Mates of State
Charlie,Hang On Mike,Candy Butchers
Chatroom,Young Enough,Charly Bliss
Cheatin',New Miserable Experience,Gin Blossoms
Chelsea Dagger,Costello Music,The Fratellis
Chemical Chemical,The New Romance,Pretty Girls Make Graves
Children of the 90's (I'm Not the Same),Steel Train,Steel Train
Chili Cook-Off,Tape Club,Someone Still Loves You Boris Yeltsin
Chinese,It's Not Me It's You,Lily Allen
Choose Again,The Broken String,Bishop Allen
Chosen to Deserve,Rat Saw God,Wednesday
Christmas Caller,Christmas Caller,Beach Bunny
Clark Gable,Give Up,The Postal Service
Class Historian,Just Enough Hip to Be Woman,Broncho
Clementine,Castaways and Cutouts,The Decemberists
cliché,plum blossom,mxmtoon
Close Call,Under The Blacklight (Standard Version),Rilo Kiley
Closest Thing to You I'm Gonna Find,The Spade,Butch Walker
Cloud 9,Honeymoon,Beach Bunny
Clouds Parting (8:14 a.m.),Sun Sun Sun,The Elected
Club Sauce,Double Line,Dragon Inn 3
Coast of Carolina,Telekinesis!,Telekinesis
Cocoon,Castaways and Cutouts,The Decemberists
Cocoon Crash,Cocoon Crash,K's Choice
Code Monkey,Best. Concert. Ever.,Jonathan Coulton
Cold Charlie,TV Boyfriends,CARR
Cold Hands (Warm Heart),The Alternative to Love,Brendan Benson
Colorblind,Honeymoon,Beach Bunny
Columbus Day Parade,Electro de Perfecto,Mike Viola
Combinations,Combinations (Standard Version),Eisley
Come Around,Aurora Gory Alice,Letters To Cleo
Come Clean,Combinations (Standard Version),Eisley
Come On,When Did We Do That?,Letters To Cleo
Come On Closer,Finally Woken,Jem
Come on Eileen,It Means Everything,Save Ferris
Come Together (Remastered 2009),Abbey Road (Remastered),The Beatles
Comfort Eagle,Comfort Eagle,CAKE
Coming Through,Tape Club,Someone Still Loves You Boris Yeltsin
Common Denominator,Common Denominator,Nisa
Complicated,Let Go,Avril Lavigne
Coney Island,Only Way To Be Alone,Good Old War
Connection,Elastica,Elastica
Constellations,Constellations,Darwin Deez
Control Me,Out of the Garden,Tancred
Cool Blue Reason,Prolonging the Magic,CAKE
Cool Kids,Talking Dreams (Deluxe Edition),Echosmith
Cool Party,You Look A Lot Like Me,Mal Blum
Cool Shoes,You've Always Known When Best To Say Goodbye,The Arrogants
Co-Pilot,Go!,Letters To Cleo
Corazon,The Broken String,Bishop Allen
Cosmic Girl (Remastered 2013),Travelling Without Moving (Remastered),Jamiroquai
Cough Syrup,Young The Giant (Special Edition),Young the Giant
Couldn't I Just Tell You,Something / Anything?,Todd Rundgren
Counting Blue Cars (Tell Me Your Thoughts On God),Pet Your Friends,Dishwalla
Count Past 23,Count Past 23,Going Spaceward
Cover All Sides,Fly By Wire,Someone Still Loves You Boris Yeltsin
Cracks,Cracks,Sly Withers
Craigslist Bed,Craigslist Bed,Tiny Stills
Crazy,St. Elsewhere,Gnarls Barkley
Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé
Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé
Crazy Little Thing Called Love (Remastered 2011),Greatest Hits,Queen
Crazy Little Thing Called Love (Remastered 2011),The Game (Deluxe Remastered Version),Queen
Crazy Lucky,All Together Now,Better Than Ezra
Creep,Pablo Honey,Radiohead
Creepin Up The Backstairs,Costello Music,The Fratellis
Criminal,Tidal,Fiona Apple
Crimson + Clover,Death of a Cheerleader,Pom Pom Squad
Crimson Wave,NVM,Tacocat
Critical Drain,Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Crooked Teeth,Plans,Death Cab For Cutie
Cross My Heart,Calendar Days,The Rocket Summer
Cross My Mind,EP,Twin Forks
Crown On the Ground,Treats,Sleigh Bells
Crows,Lights Out,Bishop Allen
Cruel To Be Kind,10 Things I Hate About You (Original Motion Picture Soundtrack),Letters To Cleo
Cruel to Be Kind,When Did We Do That?,Letters To Cleo
Cruel To Be Kind,Labour of Lust,Nick Lowe
Cruisin' (Single Edit),Greatest Hits:  Huey Lewis And The News,Huey Lewis
Crying Drunk (Single Version),Hit By a Train: The Best of Old 97's,Old 97's
Cue The Elephants,Grrr...,Bishop Allen
Cuffing Season,Honeymoon,Beach Bunny
Cupid Complained To Venus,Live At La Bonbonniere,Candy Butchers
Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY
Cut Your Hair,Quarantine The Past: The Best Of Pavement,Pavement
Daffodils & Love,Daffodils & Love,The Dreaded Laramie
Dance and Boogie,We Are The Pipettes,The Pipettes
Dance The Night (From Barbie The Album),Dance The Night (From Barbie The Album),Dua Lipa
Dance with Me,Patched Up,beabadoobee
Dancing Queen,Summer Dance Pop,ABBA
Dancing Queen,Arrival,ABBA
Dangerous Type,When Did We Do That?,Letters To Cleo
Daughter,Strange Weirdos: Music From And Inspired By The Film Knocked Up,Loudon Wainwright III
David Duchovny,A Cheap and Evil Girl,Bree Sharp
Daydreaming,Paramore,Paramore
Day Drunk,The Spade,Butch Walker
Daylight,Grand,Matt and Kim
Day Without You,Get Along,Keep for Cheap
Deadbeat,Girls Who Look Like Me,Lightning Love
Deadbeat,Blonde Album,Lightning Love
Dead Oaks,Threads,Now Now
Dead Right,Pershing,Someone Still Loves You Boris Yeltsin
Dead Right,Tape Club,Someone Still Loves You Boris Yeltsin
Dear Theodosia,Hamilton (Original Broadway Cast Recording),Leslie Odom Jr.
Death of an Interior Decorator,Transatlanticism (10th Anniversary Edition),Death Cab For Cutie
death wish,death wish,LØLØ
Decision Decision,Go for It,Rabbit!
Dejalo,Under The Blacklight (Standard Version),Rilo Kiley
deja vu,SOUR,Olivia Rodrigo
Deja Vu,Pool Party,Beach Bunny
Demon Rock,Wholesale Meats And Fish,Letters To Cleo
Desire,Mountaintops,Mates of State
Desiree,Sun Sun Sun,The Elected
Desperately Wanting,Friction Baby,Better Than Ezra
Devil Town,Noise Floor (Rarities: 1998-2005),Bright Eyes
Devil Town (feat. Carley Rutledge),Devil Town (feat. Carley Rutledge),Monica Moser
Diamonds On the Rebound,The Shape of Brat Pop to Come,holychild
Did Me Good,Sun Sun Sun,The Elected
Did You Ever Know?,40 oz. to Fresno,Joyce Manor
Dieffenbachia,Let It Buffer (Forever),Kleenex Girl Wonder
Different Now,Can't Stand,John-Allison Weiss
Different Now,The Long Way,John-Allison Weiss
Dimmer,Grrr...,Bishop Allen
Dino Damage,Tell It to the Volcano,Miniature Tigers
Dirt On Your New Shoes,Grrr...,Bishop Allen
Dirty Mind,We Are The Pipettes,The Pipettes
Disappear,Go!,Letters To Cleo
Disasterproof,Mojave Phone Booth,Mojave Phone Booth
Disobedient (feat. Kate Micucci & Michaela Dietz),Steven Universe The Movie (Original Soundtrack),Steven Universe
Do Anything You Wanna Do,Do Anything You Wanna Do: The Best Of,Eddie & The Hot Rods
Does He Love You?,More Adventurous (U.S. Release),Rilo Kiley
dog days are over,puppy luv,chloe moriondo
Dog Eat Dog,Dog Eat Dog,Tommy Lefroy
Doginabag,Costello Music,The Fratellis
Dog Song,Dog Song,Dolo Tonight
Dog Year Lungs,Dog Year Lungs,Girl K
Doing It The Wrong Way (Album Version),Falling Into Place,Mike Viola
Do It Again,Tastes Like Gold,Lit
Doll,The Colour And The Shape,Foo Fighters
Don't Bring Me Down,Juliana Hatfield Sings ELO,Juliana Hatfield
Don't Deconstruct,Take Offs And Landings,Rilo Kiley
Don't Dream It's Over,Don't Dream It's Over,Liv Dawson
Don't Get Me Wrong (2007 Remaster),Get Close (Expanded & Remastered),The Pretenders
Don’t get the deal,Beatopia,beabadoobee
Don't Go,Say What You Mean,John-Allison Weiss
Don't Hide Away,Grrr...,Bishop Allen
Don't Know Why (You Stay),Cannibal Sea,The Essex Green
Don't Lose Sight,Hotel TV,Lawrence
Don't Panic,Parachutes,Coldplay
Don't Stop Believin',The Essential Journey,Journey
Don't Stop Me Now (Remastered 2011),Jazz (Deluxe Remastered Version),Queen
Don't Stop Me Now,Jazz,Queen
Don't Stop Me Now,Discover More Classic Rock,Queen
Don't Swerve,Don't Swerve,Annie DiRusso
Don't Take My Man to Idaho,Deceptacon / Don't Take My Man to Idaho - Single,Jessica Hernandez & the Deltas
Don't Take The Money,Gone Now,Bleachers
Don't Wait Up for Me,The Beat,Paul Collins
Don't You (Forget About Me),Once Upon A Time (Super Deluxe),Simple Minds
doomsday,five seconds flat,Lizzy McAlpine
Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill
Doreen,Hit By a Train: The Best of Old 97's,Old 97's
Doris Tailspin (Boring Mountain),Pershing,Someone Still Loves You Boris Yeltsin
Do The Panic,Raise The Dead,Phantom Planet
Double Line Theme,Double Line,Dragon Inn 3
Down By the River,Cinnamon Girl: Women Artists Cover Neil Young for Charity,Jill Sobule
Do You Ever Think of Me,Cut out and Keep,Farrah
Do You Love Me,Easy Wonderful,Guster
DQ,Guppy,Charly Bliss
Drain You,Nevermind (Remastered),Nirvana
Dream All Day,Frosting On The Beater,The Posies
Dream Boy,Dream Boy,Beach Bunny
Dream Boy,Honeymoon,Beach Bunny
Dreaming,LOVETAP!,Smallpools
Dream Of Mickey Mantle,Gone Now,Bleachers
Dreams,Everybody Else Is Doing It So Why Can't We?,The Cranberries
Dreams,Dreams,chloe moriondo
Dreamworld,Under The Blacklight (Standard Version),Rilo Kiley
Driveway,The World You Want to See,Glacier Veins
Dublin Crow,The Spade,Butch Walker
Dumb Dumb Ditty,Cut out and Keep,Farrah
Edge Of The Ocean,Long Distance,Ivy
Elevator Love Letter,Arts & Crafts: 2003 - 2013,Stars
Elevator Up,Welcome Interstate Managers,Fountains Of Wayne
El Paso (King of the Hill O.S.T.),Hit By a Train: The Best of Old 97's,Old 97's
El Scorcho,Pinkerton,Weezer
Elsinore,Cannibal Sea,The Essex Green
Emily,Love in the Time of Robots & Aliens,The 143
Emily G,Emily G,Courting
Empire Liquor Mart (9127 S. Figueroa St.),The Ambassador,Gabriel Kahane
Empty House,Delta Spirit,Delta Spirit
Energy,New Magnetic Wonder,The Apples In Stereo
Enough Space,The Colour And The Shape,Foo Fighters
Esky Lid,Growing Up,Bugs
Eternal Flame,Everything,The Bangles
Everlong,The Colour And The Shape,Foo Fighters
Everlyn,Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
Everybody Else,Get Over It!,Care Bears on Fire
Everybody Hates Me,Everybody Hates Me,Coach Party
Everybody Knows You Cried Last Night,Costello Music,The Fratellis
Everybody Lost Somebody,Gone Now,Bleachers
Everybody's Lonely,Off To The Races,Jukebox The Ghost
Everybody Wants To  Rule The World,Girls Like It Loud,Care Bears on Fire
Everybody Wants To Rule The World,Songs From The Big Chair,Tears For Fears
Everybody Wants To Rule The World,Let's Have Some Fun,Tears For Fears
